	extensions	timeInS	force [pN]
267	14.52659149169922	2.6600000000000003e-08	309.7628
268	14.36487274169922	2.67e-08	344.0079
269	14.512831115722657	2.6800000000000002e-08	332.3429
270	14.500939941406251	2.6900000000000003e-08	334.3987
271	14.526350402832032	2.7000000000000004e-08	320.8463
272	14.601155090332032	2.71e-08	348.7261
273	14.550711059570313	2.7200000000000002e-08	379.495
274	14.385897827148439	2.7300000000000003e-08	377.0805
275	14.59580078125	2.74e-08	356.8108
276	14.675378417968751	2.75e-08	403.2929
277	14.772267150878907	2.7600000000000002e-08	392.5467
278	14.770973205566406	2.7700000000000003e-08	382.9559
279	15.012867736816407	2.78e-08	376.574
280	14.737266540527344	2.7900000000000002e-08	389.3629
281	14.823789978027344	2.8000000000000003e-08	388.3993
282	14.893827819824219	2.8100000000000003e-08	412.5209
283	14.895388793945314	2.82e-08	401.7154
284	15.135627746582031	2.8300000000000002e-08	412.3737
285	15.131024169921876	2.8400000000000003e-08	411.1019
286	15.23862762451172	2.8500000000000004e-08	412.5276
287	15.346492004394532	2.86e-08	397.541
288	15.217379760742189	2.8700000000000002e-08	393.844
289	15.318695068359375	2.8800000000000003e-08	407.0614
290	15.214065551757812	2.89e-08	422.6336
291	15.1939208984375	2.9e-08	427.9903
292	15.436373901367189	2.9100000000000002e-08	455.2724
293	15.167378234863282	2.9200000000000003e-08	476.6095
294	15.361421203613283	2.93e-08	446.8378
295	15.354357910156251	2.9400000000000002e-08	484.8015
296	15.457278442382814	2.9500000000000003e-08	468.4215
297	15.315364074707032	2.9600000000000004e-08	468.5149
298	15.516604614257814	2.97e-08	491.7034
299	15.405552673339844	2.9800000000000002e-08	497.8114
300	15.407228088378908	2.99e-08	480.1605
301	15.456980895996095	3.0000000000000004e-08	518.6981
302	15.438987731933594	3.0100000000000005e-08	513.7204
303	15.491896057128907	3.02e-08	499.1908
304	15.493519592285157	3.03e-08	525.5717
305	15.417298889160158	3.04e-08	538.5892
306	15.549234008789064	3.05e-08	535.626
307	15.617474365234376	3.06e-08	548.1204
308	15.594110107421876	3.0700000000000004e-08	552.3082
309	15.39521942138672	3.0800000000000004e-08	570.4741
310	15.506068420410157	3.0900000000000005e-08	571.5783
311	15.571607971191407	3.1e-08	586.0822
312	15.727789306640625	3.11e-08	581.06
313	15.615606689453125	3.12e-08	587.5676
314	15.545838928222658	3.13e-08	591.4142
315	15.482611083984375	3.14e-08	608.9667
316	15.627549743652345	3.1500000000000004e-08	635.9332
317	15.624723815917969	3.1600000000000005e-08	640.2571
318	15.907313537597657	3.17e-08	613.9327
319	15.816304016113282	3.18e-08	619.4049
320	15.884262084960938	3.19e-08	606.2967
321	15.772201538085938	3.2e-08	616.9791
322	15.693190002441407	3.21e-08	649.5613
323	15.776580810546875	3.2200000000000004e-08	654.5597
324	15.716273498535157	3.2300000000000005e-08	651.9872
325	15.744651794433594	3.2400000000000006e-08	670.6474
326	15.895445251464844	3.25e-08	667.7448
327	15.764694213867188	3.26e-08	683.4656
328	15.837312316894533	3.27e-08	681.2571
329	15.905770874023439	3.28e-08	696.251
330	15.850088500976563	3.2900000000000003e-08	696.6668
331	15.887098693847657	3.3000000000000004e-08	687.9171
332	15.783470153808594	3.3100000000000005e-08	690.8866
333	15.92474365234375	3.32e-08	694.9236
334	15.908259582519532	3.33e-08	708.5433
335	15.908709716796876	3.34e-08	703.4919
336	15.924157714843751	3.35e-08	696.2716
337	15.874366760253906	3.36e-08	719.8068
338	15.897320556640626	3.3700000000000004e-08	717.0631
339	15.964479064941408	3.3800000000000005e-08	742.3259
340	15.878962707519532	3.3900000000000006e-08	719.3672
341	15.927764892578125	3.4e-08	729.5176
342	15.884817504882813	3.41e-08	740.0267
343	15.838188171386719	3.42e-08	736.5632
344	16.015240478515626	3.43e-08	759.7939
